Num,Season,League,Name,Page,Comments
24,2015/16,en,Premier League,2015–16_Premier_League,
23,2014/15,en,Premier League,2014–15_Premier_League,
22,2013/14,en,Premier League,2013–14_Premier_League,
21,2012/13,en,Premier League,2012–13_Premier_League,
20,2011/12,en,Premier League,2011–12_Premier_League, 
19,2010/11,en,Premier League,2010–11_Premier_League,
18,2009/10,en,Premier League,2009–10_Premier_League, 
17,2008/09,en,Premier League,2008–09_Premier_League, 
16,2007/08,en,Premier League,2007–08_Premier_League, 
15,2006/07,en,Premier League,2006–07_FA_Premier_League, 
14,2005/06,en,Premier League,2005–06_FA_Premier_League, 
13,2004/05,en,Premier League,2004–05_FA_Premier_League, 
12,2003/04,en,Premier League,2003–04_FA_Premier_League, 
11,2002/03,en,Premier League,2002–03_FA_Premier_League, 
10,2001/02,en,Premier League,2001–02_FA_Premier_League, 
9,2000/01,en,Premier League,2000–01_FA_Premier_League, 
8,1999/2000,en,Premier League,1999–2000_FA_Premier_League, 
7,1998/99,en,Premier League,1998–99_FA_Premier_League, 
6,1997/98,en,Premier League,1997–98_FA_Premier_League,
5,1996/97,en,Premier League,1996–97_FA_Premier_League,
4,1995/96,en,Premier League,1995–96_FA_Premier_League,
3,1994/95,en,Premier League,1994–95_FA_Premier_League,
2,1993/94,en,Premier League,1993–94_FA_Premier_League,
1,1992/93,en,Premier League,1992–93_FA_Premier_League,
